userId,movieId,rating,timestamp
1,1543,4.0,964982703
1,3110,4.0,964981247
1,1036,4.0,964982224
1,4544,5.0,964983815
1,2363,5.0,964982931
1,1288,3.0,964982400
1,447,5.0,964980868
1,4441,4.0,964982176
1,4337,5.0,964984041
1,3149,5.0,964984100
1,2908,5.0,964983650
1,3891,5.0,964981208
1,4795,3.0,964980985
1,1212,5.0,964981179
1,1138,4.0,964980908
1,3488,5.0,964981680
1,2281,3.0,964982967
1,4208,3.0,964982310
1,836,5.0,964981179
1,4022,4.0,964982563
1,3690,4.0,964980962
1,607,5.0,964982588
1,1591,4.0,964981710
1,1646,3.0,964982363
1,3134,4.0,964980868
1,3964,5.0,964981909
1,2979,4.0,964982346
1,3232,3.0,964981208
1,4034,5.0,964984002
1,2223,4.0,964981179
1,294,4.0,964982653
1,2374,5.0,964984153
1,2426,4.0,964982546
1,2150,4.0,964982271
1,1486,4.0,964983793
1,4043,5.0,964982838
1,844,5.0,964982931
1,1134,3.0,964982563
1,2699,5.0,964982838
1,4644,3.0,964981775
1,244,4.0,964982400
1,1191,3.0,964982653
1,3678,3.0,964984086
1,376,4.0,964980499
1,3683,5.0,964982475
1,354,5.0,964981529
1,4643,5.0,964982176
1,964,4.0,964983614
1,4183,5.0,964983219
1,302,3.0,964981775
1,3820,5.0,964982681
1,2535,5.0,964982876
1,2210,5.0,964982791
1,1827,5.0,964982855
1,4542,3.0,964982903
1,3947,5.0,964982653
1,2628,5.0,964982791
1,1907,4.0,964981179
1,3869,5.0,964982400
1,2957,4.0,964980924
1,2602,5.0,964981680
1,4633,5.0,964981327
1,1357,5.0,964982951
1,1340,4.0,964984018
1,632,5.0,964983484
1,3964,5.0,964981680
1,2860,4.0,964982513
1,1508,5.0,964981327
1,2982,5.0,964981827
1,3963,5.0,964981872
1,3430,5.0,964981827
1,883,5.0,964983737
1,3551,4.0,964983250
1,3019,5.0,964980499
1,1072,5.0,964982951
1,310,4.0,964981855
1,1946,2.0,964983393
1,520,5.0,964981909
1,2054,5.0,964981909
1,3064,5.0,964984018
1,1175,5.0,964983618
1,330,5.0,964983723
1,3998,5.0,964981442
1,497,3.0,964983414
1,4016,4.0,964983599
1,1000,5.0,964983705
1,4001,5.0,964982290
1,1096,5.0,964983414
1,3981,5.0,964982703
1,755,5.0,964981909
1,1243,5.0,964984086
1,9,4.0,964983393
1,1515,3.0,964982653
1,679,3.0,964983017
1,2251,3.0,964982310
1,555,3.0,964984112
1,2065,4.0,964980875
1,3899,4.0,964980985
1,2577,5.0,964981107
1,3937,4.0,964982620
1,822,5.0,964982290
1,2297,3.0,964981125
1,1278,5.0,964982346
1,1615,5.0,964982951
1,3876,4.0,964983056
1,3419,5.0,964983504
1,2955,3.0,964983536
1,1209,3.0,964982620
1,4695,5.0,964981125
1,4546,4.0,964981230
1,3292,4.0,964981404
1,2548,5.0,964983034
1,1518,4.0,964983056
1,3512,4.0,964981780
1,142,5.0,964981497
1,366,5.0,964982176
1,2781,4.0,964981710
1,4242,4.0,964982211
1,4695,5.0,964981710
1,1928,4.0,964984176
1,1383,5.0,964980523
1,2902,4.0,964981888
1,1167,5.0,964982903
1,764,4.0,964982563
1,2578,5.0,964982791
1,1348,4.0,964981747
1,885,5.0,964982400
1,1054,5.0,964982838
1,4134,5.0,964982838
1,2163,3.0,964981710
1,2208,5.0,964982653
1,735,4.0,964982838
1,2699,4.0,964982588
1,2797,4.0,964981725
1,1304,5.0,964982529
1,1546,5.0,964982876
1,4264,5.0,964982791
1,3103,5.0,964982791
1,1674,5.0,964982838
1,4376,4.0,964981725
1,2303,5.0,964981710
1,3809,4.0,964981680
1,4747,4.0,964981710
1,929,2.0,964981775
1,1885,4.0,964982989
1,3720,4.0,964982310
1,4084,5.0,964983664
1,908,5.0,964983263
1,1503,2.0,964983546
1,1076,5.0,964983861
1,1842,4.0,964982462
1,143,5.0,964983123
1,3554,2.0,964983094
1,1289,5.0,964981093
1,4190,4.0,964982310
1,516,3.0,964982513
1,3435,5.0,964982242
1,2922,4.0,964982620
1,2224,5.0,964983414
1,4437,5.0,964982588
1,4660,4.0,964984169
1,2653,4.0,965719662
1,228,5.0,964981278
1,1275,3.0,964982328
1,3727,5.0,964982242
1,3789,5.0,964981265
1,1452,5.0,964981888
1,3147,5.0,964983000
1,4499,5.0,964981144
1,1102,4.0,964983080
1,2673,2.0,964982588
1,1388,4.0,964980523
1,3290,4.0,964982377
1,2529,5.0,964982620
